customer_id,first_name,last_name,birth_date,gender,city,signup_date
1,Timothée,Marie,1952-02-07,M,Alger,2024-02-01
2,Guillaume,Moulin,1963-05-27,M,Blida,2022-07-26
3,Bernard,Labbé,1992-11-22,M,Setif,2021-12-23
4,Aurore,Maury,1974-09-22,F,Alger,2021-05-03
5,Alexandre,Morin,1963-02-20,M,Blida,2023-08-11
6,Philippe,Marion,1952-03-10,M,Annaba,2023-03-26
7,Élodie,Auger,1987-09-20,F,Blida,2026-01-14
8,Paulette,Vasseur,1976-04-13,F,Alger,2022-10-16
9,Laurence,Robert,1993-12-05,F,Oran,2024-02-13
10,Édouard,Rocher,1974-10-07,M,Blida,2024-10-10
11,Guillaume,Meyer,1962-12-13,M,Alger,2025-04-06
12,Jean,Henry,1955-12-18,M,Oran,2024-11-09
13,Brigitte,Pelletier,1998-12-25,F,Alger,2026-02-25
14,Thibaut,Aubry,1996-09-06,M,Constantine,2021-11-19
15,Suzanne,Regnier,1957-10-16,F,Setif,2025-01-21
16,Laurent,Chevalier,1982-02-21,M,Setif,2021-10-12
17,Thomas,Maurice,2001-02-23,M,Setif,2023-07-23
18,Maryse,Verdier,1961-08-21,F,Alger,2023-08-12
19,Arthur,Lambert,1988-05-14,M,Constantine,2024-02-13
20,Luce,Chevalier,1999-06-06,F,Setif,2025-02-03
21,Benoît,Gillet,1966-07-10,M,Oran,2024-12-26
22,Timothée,Marchal,1959-12-13,M,Setif,2023-12-30
23,Joseph,Lacroix,1988-11-16,M,Annaba,2022-12-02
24,Zacharie,Jourdan,1954-09-30,M,Blida,2026-03-09
25,Denise,Joubert,1992-03-27,F,Oran,2023-06-19
26,Corinne,Pinto,1972-04-21,F,Alger,2023-07-28
27,Timothée,Lagarde,1982-06-04,M,Oran,2025-07-02
28,Marguerite,Lecoq,1994-11-28,F,Alger,2023-05-15
29,Henriette,David,1996-07-25,F,Blida,2026-08-07
30,Noémi,Royer,1954-06-13,F,Setif,2026-02-23
31,Roland,Wagner,1968-08-12,M,Oran,2022-07-26
32,Victor,Didier,1973-03-24,M,Setif,2023-12-13
33,Suzanne,Meunier,1965-10-10,F,Annaba,2025-06-24
34,Jeanne,Vallet,1982-09-04,F,Blida,2022-07-21
